SKU,name,uvas,añada,D.O.,tipo_crianza,meses_barrica,tipo_vino,proveedor,final_price,description,descripcion_combinada
VT_BALOIRO_CRIANZA,Vino Tinto Baloiro Crianza (selección En Viña),Mencía,2018,D.O. Bierzo,Crianza,12 meses,Vino Tinto,"Atocha Vallecas, S.L.",13.9,"El vino que nos ocupa en esta ocasión es un vino de la Denominación de Origen Bierzo, una región vinícola que ha ganado renombre en los últimos años gracias a la producción de vinos excepcionales. Su singularidad radica en la utilización de una única variedad de uva, la Mencía, que le confiere su carácter inconfundible.
El viñedo que da vida a este vino se encuentra ubicado en una pendiente, propiedad de la familia Luzdivina, lo que garantiza unas condiciones óptimas para el cultivo de la uva. La altitud de las parcelas oscila entre 500 y 650 metros sobre el nivel del mar, proporcionando un microclima único que influye en el sabor y la calidad de las uvas. Pero lo que hace que estas viñas sean aún más especiales es su longevidad, ya que las cepas tienen más de 50 años, lo que aporta complejidad y carácter a la uva.
El suelo en el que se cultivan estas uvas es de tipo aluvial profundo, compuesto de arenas graníticas y arcilla. Esta mezcla de suelos confiere a las uvas una riqueza mineral y una textura única que se reflejan en el vino final.
El proceso de elaboración de este vino es artesanal y meticuloso. La vendimia se realiza de forma manual, seleccionando cuidadosamente las mejores uvas para garantizar la calidad. Posteriormente, el vino pasa por un proceso de envejecimiento en barricas de roble, combinando tanto roble francés como americano, durante un período de 12 meses. Esta etapa de envejecimiento en madera aporta notas de vainilla, especias y complejidad al vino, complementando a la perfección la fruta y el carácter de la Mencía.
En resumen, este vino de la D.O. Bierzo, elaborado con uvas Mencía de viñedos centenarios en un entorno excepcional, es un verdadero tesoro enológico. Su cuidadoso proceso de elaboración y envejecimiento en barricas de roble lo convierten en una elección excepcional para aquellos que buscan disfrutar de un vino con historia, carácter y un sabor inigualable. Desde su lugar de origen hasta la copa, este vino representa la pasión y la tradición de la región del Bierzo, ofreciendo una experiencia única para los amantes del vino.
Nota de cata del Vino Tinto Baloiro Crianza:Nariz: Aroma intenso de fruta negra y roja. Expresión varietal y mineral sobre un fondo de flores azules.Boca: Sedoso y redondo con un paso aterciopelado y vibrante.","Mencía 2018 D.O. Bierzo Crianza 12 meses Vino Tinto Atocha Vallecas, S.L. 13.9"
VT_VINADEMOYA,Vino Tinto Viñademoya Mencia,Mencía,2019,D.O. Bierzo,Roble,5 meses,Vino Tinto,"Atocha Vallecas, S.L.",7.8,"Este vino pertenece a la D.O. BierzoLa variedad de uva utilizada es 100% Mencía.Su viñedo está ubicado en una zona denominada Viñademoya cercana a la bodega de la familia Luzdivina. Las cepas plantadas en vaso superan los 100 años de edad.Este viñedo es de los que mayor superficie de cepas prefiloxéricas del Bierzo tiene.El suelo de la parcela es Rico en minerales y pizarra.La elaboración se inicia con la vendimia de manera manual.
Nota de cata del Vino Tinto Viñademoya:Nariz: destacan sus notas frutales, con tonos maduros, confitura de moras y ciruela negra junto a puntas de regaliz.Boca: buena estructura y concentración frutal, regaliz y algo de chocolate negro, equilibrado y sabroso.","Mencía 2019 D.O. Bierzo Roble 5 meses Vino Tinto Atocha Vallecas, S.L. 7.8"
VB_MAZACRUZ,Vino Blanco Mazacruz,Sauvignon Blanc|Verdejo,2014,IGP Vino de la Tierra de Castilla,Joven,Sin paso por barrica,Vino Blanco,"DEHESA DE LOS LLANOS, S.L.",8.8,"Nota de cata de Vino Blanco MazacruzVariedad de la uva utilizada es 70% Verdejo y 30% Sauvignon Blanc.Pertenece a Vinos de la Tierra de Castilla. Tiene un excelente equilibrio, fresco y frutal . Destaca por su personalidad y complejidad. En el proceso de elaboración de Mazacruz Blanco, se realiza vendimia negativa manual para eliminar los racimos que no han alcanzado una excelente calidad. Tras la recolección mecánica nocturna, aprovechando las horas de menor temperatura, con el fin de evitar oxidaciones y conservar los aromas primarios, se lleva a cabo maceración en frío.Notas de cata sobre el Vino Blanco Mazacruz:En vista presume de un color amarillo pajizo y con destellos verdosos que le otorgan un aspecto brillanteEn nariz se presenta con aromas complejos, con buen equilibrio entre la fruta de hueso y las notas cremosas que vienen de la crianza en barrica. En boca tiene buena entrada, muy larga y con volumen. La graduación alcohólica de Vino Blanco Mazacruz es de 13,5%.La temperatura idónea para servir este vino es a 10ºC y 12ºC.Si tiene alguna duda a la hora de comprar Vino Blanco Mazacruz, póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso.","Sauvignon Blanc|Verdejo 2014 IGP Vino de la Tierra de Castilla Joven Sin paso por barrica Vino Blanco DEHESA DE LOS LLANOS, S.L. 8.8"
VT-BERONIA-CRIANZA-ECOLOGICO,Vino Tinto Beronia Crianza Ecológico,Tempranillo,2018,D.O.C. Rioja,Crianza,6 meses,Vino Tinto,González Byass Distribución S.L.,8.8,"Vino Tinto Beronia Crianza Ecológico
El vino tinto Beronia Crianza Ecológico pertenece a la bodega Beronia integrada desde 1982 a la familia de bodegas González Byass. Pertenece a la denominación de origen Rioja.
Este vino está elaborado con un 100% de uva Tempranillo.
La variedad Tempranillo es una uva considera autóctona de La Rioja. Es la variedad más autóctona más característica de esta Denominación, raíz de los vinos tintos y una de las variedades más reconocidas y nobles del mundo del vino. Tras una maceración prefermentativa en frío, el vino envejece en barricas mixtas de roble francés y americano, duelas de roble americano y fondo de robe francés, donde permanece un mínimo de seis meses. A continuación, finaliza su crianza durante dos meses en botella antes de salir a la venta.
La botella es de 0,75 L. Se recomienda consumir este vino entre 15ºC y 17 ºC.
Este vino tiene una graduación alcohólica del 13,5%. Posee una acidez total de 4,9 y una acidez volátil de 0,48.
Beronia es una bodega española situada en la Rioja, fundada en 1973 por un grupo de empresarios, amigos entre sí. Hoy en día, esta bodega es una bodega de referencia tanto a nivel nacional como internacional y pertenece a la denominación de origen de la Rioja, que es la denominación más reconocida de España. Al norte limita con la sierra cántabra y, al sur, con la sierra de la Demanda, creando un ambiente único para la producción de los mejores vinos de España.
Con este vino Beronia, quiere darnos su lado más respetuoso con la vinificación trabajando de manera ecológica lo cual siempre es interesante para darle una vuelta de tuerca a las vinificaciones más clásicas de la zona de la Rioja.
Si tiene alguna duda a la hora de comprar el vino tinto Beronia Crianza Ecológico, póngase en contacto con nuestro sumiller de nuestra tienda online de vinos y le asesorará sin compromiso.",Tempranillo 2018 D.O.C. Rioja Crianza 6 meses Vino Tinto González Byass Distribución S.L. 8.8
VT-BERONIA-SELECCION-198-BARRI,Vino Tinto Beronia Selección 198 Barricas,Tempranillo,2012,D.O.C. Rioja,Reserva,24 meses,Vino Tinto,González Byass Distribución S.L.,24.95,"VINO TINTO BERONIA SELECCIÓN 198 BARRICAS
El vino tinto Beronia selección 198 barricas pertenece a la bodega Beronia integrada desde 1982 a la familia de bodegas González Byass. Pertenece a la denominación de origen Rioja.
Este vino está elaborado con una combinación excelente de un 91% de uva Tempranillo, un 8% de uva Graciano y un 1% de Mazuelo.
Se elabora a partir de una maceración prefermentiva en frío, en la que se procede a una cuidada fermentación alcohólica por debajo de 26º C, con remontados periódicos con el objeto de extraer el mayor sabor de este vino. Este vino ha sido elaborado con una maduración de 24 meses en barricas mixtas americano-francesas consiguiendo una evolución sosegada y armónica. A continuación, se completó su crianza durante 24 meses en botella antes de ponerse a la venta.
La botella es de 0,75 L.
Este vino tiene una graduación alcohólica del 14%. Posee una acidez total de 5,6 y una acidez volátil de 0,76.
Beronia es una bodega española situada en la Rioja, fundada en 1973 por un grupo de empresarios, amigos entre sí. Hoy en día, esta bodega es una bodega de referencia tanto a nivel nacional como internacional y pertenece a la denominación de origen de la Rioja, que es la denominación más reconocida de España. Al norte limita con la sierra cántabra y , al sur, con la sierra de la Demanda, creando un ambiente único para la producción de los mejores vinos de España.
Con este vino Beronia, nos da el resultado de aglutinar sus mejores añadas, dando como resultado un vino excelente para disfrutarlo con calma.
Si tiene alguna duda a la hora de comprar el vino tinto Beronia Selección 198, póngase en contacto con nuestro sumiller de nuestra tienda online de vinos y le asesorará sin compromiso.",Tempranillo 2012 D.O.C. Rioja Reserva 24 meses Vino Tinto González Byass Distribución S.L. 24.95
VT-BERONIA-TEMP-ELABO-ESPECIAL,Vino Tinto Beronia Tempranillo Elaboración Especial,Tempranillo,2017,D.O.C. Rioja,Joven,12 meses,Vino Tinto,González Byass Distribución S.L.,16.6,"El Vino Tinto Beronia Tempranillo Elaboración Especial pertenece a la bodega Beronia integrada desde 1982 a la familia de bodegas González Byass. Pertenece a la denominación de origen de La Rioja.
Este vino está elaborado con un 100% de uva Tempranillo.
La variedad Tempranillo es la variedad más representativa de la denominación de origen de La Rioja, fundamento de la identidad de los vinos de la zona y una de las más nobles del mundo. Tras una maceración prefermentativa en frio, se procede con una lenta y cuidadosa fermentación controlada con remontados periódicos para extraer el color y aromas deseados. Este vino tiene una maduración de 12 meses en barricas mixtas de roble americano y francés, consiguiendo una evolución pausada y armónica. Posteriormente, completa su crianza durante 6 meses en botella.
La botella es de 0,75 L. Se recomienda consumir este vino entre 16ºC y 18 ºC.
Este vino tiene una graduación alcohólica del 14%. Posee una acidez total de 5 y una acidez volátil de 0,68.
Beronia es una bodega española situada en la Rioja, fundada en 1973 por un grupo de empresarios, amigos entre sí. Hoy en día, esta bodega es una bodega de referencia tanto a nivel nacional como internacional y pertenece a la denominación de origen de la Rioja, que es la denominación más reconocida de España. Al norte limita con la sierra cántabra y, al sur, con la sierra de la Demanda, creando un ambiente único para la producción de los mejores vinos de España.
Con este vino Beronia, quiere darnos  la uva más representativa de  La Rioja, para tomar un gran vino con calma.
Si tiene alguna duda a la hora de comprar el Vino Tinto Beronia Tempranillo Elaboración Especial, póngase en contacto con nuestro sumiller de nuestra tienda online de vinos y le asesorará sin compromiso.",Tempranillo 2017 D.O.C. Rioja Joven 12 meses Vino Tinto González Byass Distribución S.L. 16.6
VB_BALOIROO,Vino Blanco Baloiro,Godello,2019,D.O. Bierzo,Joven,Sin paso por barrica,Vino Blanco,"Atocha Vallecas, S.L.",9.45,"Este vino es un ejemplo excepcional de la región del Bierzo en España, una Denominación de Origen (D.O.) conocida por su producción vinícola de alta calidad. La D.O. Bierzo es famosa por sus variedades de uva autóctonas, y este vino utiliza una mezcla de Godello, Doña Blanca y Jerez para crear una experiencia única.
El viñedo se encuentra en las escarpadas laderas que son propiedad de la familia Luzdivina, y su ubicación en estas pendientes brinda condiciones ideales para el cultivo de uvas de calidad. Con una altitud que oscila entre 550 y 750 metros sobre el nivel del mar, las viñas disfrutan de un microclima único que contribuye a la complejidad de este vino.
El suelo de los viñedos es del tipo aluvial profundo con una rica presencia de arenas de cuarzo. Este tipo de suelo es conocido por su capacidad de drenaje, lo que beneficia a las raíces de las vides y contribuye al desarrollo de sabores ricos en los racimos.
El proceso de elaboración de este vino se lleva a cabo con gran cuidado y atención a los detalles. La recolección de las uvas se realiza de forma manual, lo que permite seleccionar los racimos en el momento óptimo de madurez. Este enfoque manual garantiza que solo las uvas de la mejor calidad sean utilizadas en la producción del vino. Además, la minimización del tiempo entre la recolección y la entrada de las uvas en la bodega es esencial para preservar la frescura y las características de la uva.
Una vez en la bodega, las uvas se someten a un proceso de vinificación en el que se busca extraer y expresar la personalidad de cada variedad. La combinación de Godello, Doña Blanca y Jerez aporta una diversidad de sabores y matices que se fusionan para crear un vino único y excepcional.
Este vino del Bierzo es un reflejo de la pasión y el esfuerzo que se invierten en su producción. Desde la selección de las uvas hasta la vinificación, cada paso se realiza con precisión y dedicación para ofrecer una experiencia de cata verdaderamente excepcional. Su origen en el Bierzo y su combinación de variedades autóctonas hacen de este vino una joya en el mundo vinícola español.
Nora de cata del Vino Blanco Baloiro Blanco:Vista: Amarillo pálido, limpio y brillante. Nariz: Fresco, floral y un fondo de pastelería. Boca: es frutal y persistente. Fácil de beber y vibrante.","Godello 2019 D.O. Bierzo Joven Sin paso por barrica Vino Blanco Atocha Vallecas, S.L. 9.45"
VT-VIHUCAS-BOREALIS,Vino Tinto Vihucas Borealis Merlot,Merlot,2008,D.O. La Mancha,Reserva,18 meses,Vino Tinto,"Vihucas Distribuciones y Servicios, S.L.",12.5,"
Nombre:Vino Tinto Vihucas Borealis
Denominacion de origen: V.T. de La Mancha
Variedades: Merlot
Crianza:18 meses
Bodega: Vihucas Botella: 0,75 L
Graduación alcohólica: 14 % vol
Si tiene alguna duda a la hora de comprar el Vino Tinto Vihucas Borealis, póngase en contacto con nuestro sumiller y le asesorará sin compromiso.  
","Merlot 2008 D.O. La Mancha Reserva 18 meses Vino Tinto Vihucas Distribuciones y Servicios, S.L. 12.5"
VT-VIHUCAS-COLECCION-FAMILIAR,Vin Rouge Vihucas Coleccion Familiar,Merlot,2011,D.O. La Mancha,Crianza,12 meses,Vino Tinto,"Vihucas Distribuciones y Servicios, S.L.",9.4,"Nom: Vin Rouge Family Collection Vihucas
Appellation d'origine : V.T. de La Mancha
Cépages : Merlot
Cave : Vihucas Bouteille : 0,75 L.
Graduation alcoolique : 14 % vol.
Si vous avez un doute au moment de l'achat de la collection familiale de vins rouges, veuillez contacter notre sommelier qui vous conseillera sans engagement.  ","Merlot 2011 D.O. La Mancha Crianza 12 meses Vino Tinto Vihucas Distribuciones y Servicios, S.L. 9.4"
VT-VIHUCAS-DOOBLE,Vino Tinto Dooble Vihucas,Merlot|Tempranillo,2010,D.O. La Mancha,Crianza,15 meses,Vino Tinto,"Vihucas Distribuciones y Servicios, S.L.",9.6,"Nombre:Vino Tinto Dooble Vihucas
Denominacion de origen: V.T. de La Mancha
Variedades: Cencibel y Merlot
Bodega: Vihucas
Botella: 0,75 L.
Graduación alcohólica: 14 % vol
Si tiene alguna duda a la hora de comprar el Vino Tinto Dooble Vihucas , póngase en contacto con nuestro sumiller y le asesorará sin compromiso. 
 ","Merlot|Tempranillo 2010 D.O. La Mancha Crianza 15 meses Vino Tinto Vihucas Distribuciones y Servicios, S.L. 9.6"
VT-ECOLOGICO-VIHUCAS-CENCIBEL,Vino Tinto Vihucas Cencibel - Ecologico,Cencibel,2013,D.O. La Mancha,Joven,Sin paso por barrica,Vino Tinto,"Vihucas Distribuciones y Servicios, S.L.",3.8,"Vino Tinto Ecológico Vihucas Cencibel.
El Vino Tinto Ecológico Vihucas Cencibelestá hecho para disfrutar. Es un vino ecológico, repleto de fruta de principio a fin, vibrante, sabroso y fresco a la vez. Extrae toda la esencia de la uva Tempranillo. Amor por el vino expresado en una botella.
Este vino tiene denominación de origen La Mancha y es un monovarietal elaborado a partir de un 100% Cencibel (Tempranillo).
Graduación alcohólica: 13 % vol.
Si tiene alguna duda a la hora de comprar Vino Tinto Ecológico Vihucas Cencibel, póngase en contacto con nuestro sumiller y le asesorará sin compromiso. ","Cencibel 2013 D.O. La Mancha Joven Sin paso por barrica Vino Tinto Vihucas Distribuciones y Servicios, S.L. 3.8"
VB-VINAS-DEL-VERO-RIESLING,Vino Blanco Viñas del Vero Riesling,Riesling,2021,D.O. Somontano,Sobre lías,Sin paso por barrica,Vino Blanco,González Byass Distribución S.L.,9.54,"El Viñas del Vero Riesling es un vino blanco con un sabor y aroma únicos, elaborado por una bodega de renombre y con una larga tradición en la producción de vinos de alta calidad. Su frescura y acidez lo hacen perfecto para maridar con una amplia variedad de platos, y su particular sabor lo convierte en una excelente elección para aquellos que buscan un vino diferente y sorprendente.
El vino blanco Viñas del Vero Riesling es uno de los vinos más singulares de la bodega Viñas del Vero, ubicada en la región de Somontano, en el norte de España. La bodega fue fundada en 1986 y desde entonces ha logrado consolidarse como una de las principales referencias enológicas de la zona.
El Viñas del Vero Riesling se elabora con uvas de la variedad Riesling, una cepa originaria de la región alemana de Renania que se ha adaptado perfectamente al clima de Somontano. Esta uva se caracteriza por su acidez y frescura, lo que da lugar a un vino muy aromático y afrutado.
En nariz, el Viñas del Vero Riesling ofrece notas de frutas tropicales como la piña y el mango, así como toques cítricos y florales. En boca, es un vino fresco y ligero, con una acidez equilibrada y un final largo y persistente.
Este vino blanco es perfecto para maridar con platos de pescado, marisco y ensaladas, así como con platos de comida asiática y picante. También puede ser un excelente acompañamiento para quesos frescos y postres de frutas.
Para disfrutar al máximo de todas sus particularidades, se recomienda servir el Viñas del Vero Riesling entre 8 y 10 grados Celsius. 
Si tiene alguna duda a la hora de comprar Vino blanco Viñas del Vero Riesling, póngase en contacto con el sumiller de nuestra tienda online y le asesorará sin compromiso.",Riesling 2021 D.O. Somontano Sobre lías Sin paso por barrica Vino Blanco González Byass Distribución S.L. 9.54
VB-ALUNADO-SAUVIGNON-BLANC,Vino Blanco Alunado Sauvignon Blanc,Sauvignon Blanc,2014,D.O. Ribera del Guadiana,Sobre lías,13 meses,Vino Blanco,PIFEMA S.L.,25.5,"Bodegas Pago Los Balancines, nos presenta el Vino Blanco Alunado Sauvignon Blanc, con origen en las tierras de Ribera Del Guadiana (España) elaborado a partir de la variedad de uva Sauvignon Blanc.
El desarrollo de este vino empieza con la cosecha de las uvas realizadas por Bodegas Pago Los Balancines. La bodega se enorgullece de la manera intrincada que utilizan para el cosechó; solo usan uvas que han sido determinadas ser un nivel de calidad satisfactorio. El siguiente proceso en el desarrollo del Vino Blanco Alunado Sauvignon Blanc es la fermentación de las uvas de variedad Sauvignon Blanc. Similarmente a sus otros vinos blancos, esta bodega utiliza un proceso de fermentación de la uva sobre lías en barricas de roble francés durante 13 meses. Sobre lías afecta el envejecimiento del vino blanco y le gana más densidad y aroma. Además, el uso de roble francés asegura que el vino blanco sea inducido con las características olfativas y sabrosas de ese tipo de madera. El Vino Blanco Alunado Sauvignon Blanc está compuesto por la variedad de uva Sauvignon Blanc (100%), este vino ha ganado varios premios incluyendo el Gran ORO, Premios MONOVINO 2016: Mejor Blanco con barrica de España), Medalla de Bronce Best Value CWSA (China Wine & Spirit Awards), 92 puntos en el Guía Sevi, y 92 puntos en el Guía Guilbert & Gillart.
Bodegas Pago los Balancines
El origen de Bodegas Pago los Balancines siempre ha abordado la importancia de utilizar metodología ecológica. En vez de producir una cantidad similar de vinos a sus competidores, sólo facilita una cantidad baja de uvas. La bodega está convencida de que así pueden dar un nivel extraordinario de cuidado y atención a sus uvas, distinguiendo las uvas de la bodega de sus competidores en nivel de calidad. La filosofía de Bodegas Pago los Balancines se enfoca en la producción de vinos de calidad por usar uvas de calidad, esta bodega emplea esta filosofía por utilizar un alto nivel de atención a detalles y por elaborar sus vinos delicadamente. Cada depósito de vinos de la Bodegas Pago los Balancines se separa y asigna en respecto a cada independiente tipo de variedad de uva y orientación geográfica, o sea, ningún depósito se especializa a más que un tipo de vino.
Si tiene alguna duda a la hora de comprar Vino Blanco Alunado Sauvignon Blanc, póngase en contacto con el sumiller de nuestra tienda online y le asesorará sin compromiso.",Sauvignon Blanc 2014 D.O. Ribera del Guadiana Sobre lías 13 meses Vino Blanco PIFEMA S.L. 25.5
VT-HACIENDA-SOLANO-SELECCION,Vino Tinto Hacienda Solano Selección,Albillo|Tempranillo,2018,D.O. Ribera del Duero,Roble,8 meses,Vino Tinto,HACIENDA SOLANO S.L.,12.0,"El Vino Tinto Hacienda Solano Selección de Bodega Hacienda Solano pertenece a la D.O. Ribera del Duero y es elaborado a partir de las variedades de uva 98% Tempranillo y 2% Albillo.
Tipología de vino: Vino de pueblo elaborado con uvas procedentes de viñedos familiares en vaso de más de 30 años localizados en La Aguilera, Burgos (suelos formados por margas, arcillas y calizas).
Vinificación: Depósitos de acero inoxidable y hormigón con control de temperatura. Maceración en frío de 24 a 36 horas sobre 8-10ºC. Fermentación alcohólica durante 9-10 días con pequeños remontados y ‘pigeages’ a una temperatura media de 26ºC. Maceración post-fermentativa de 4 a 5 días.
Crianza: 8 meses de crianza mixta entre barricas de roble francés de 225 y 500 litros y 3 meses en depósito.
Temperatura de servicio recomendada: 16ºC.
Bodega Hacienda Solano
Hacienda Solano es una pequeña bodega familiar, situada en La Aguilera, Burgos. Un pueblo que cuenta con algunos de los mejores y más antiguos viñedos de la D.O. Ribera del Duero.
La bodega es pequeña y coqueta, situada sobre el antiguo lagar de la familia Cubillo-Solano. Aquí se cultiva cada parcela por separado, buscando la máxima expresión de los suelos.
Con un trabajo sencillo, el objetivo es que cada uno de los vinos refleje el carácter del lugar, el clima y el entorno de pinos que rodea la bodega, el tipo y la estructura del suelo, así como la forma de elaborar vinos en La Aguilera.
Viñedos de la Bodega
En Hacienda Solano se trabaja con viñedos propios, con una viticultura sostenible que refleja el paso de varias generaciones de viticultores. En ellos hay frío, calor, mucho esfuerzo y dedicación, pero sobre todo pasión.
Su filosofía ha sido siempre de mínima intervención, se trabaja de forma artesanal, sin levaduras, sin adicciones, con crianzas respetuosas, se busca la libre expresión del viñedo.
La variedad de uva Tempranillo es la protagonista, sin renunciar a la Albillo en pequeñas dosis. El carácter y finura de los suelos calizos se refleja en el estilo de los vinos.
Si tiene alguna duda a la hora de comprar Vino Tinto Hacienda Solano Selección, póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso.",Albillo|Tempranillo 2018 D.O. Ribera del Duero Roble 8 meses Vino Tinto HACIENDA SOLANO S.L. 12.0
VT-HACIENDA-SOLANO-VINAS-VIEJAS,Vino Tinto Hacienda Solano Viñas Viejas,Albillo|Tempranillo,2019,D.O. Ribera del Duero,Crianza,14 meses,Vino Tinto,HACIENDA SOLANO S.L.,22.1,"El Vino Tinto Hacienda Solano Viñas Viejas de Bodega Hacienda Solano pertenece a la D.O. Ribera del Duero y es elaborado a partir de las variedades de uva Tempranillo con un porcentaje pequeño de Albillo.
Tipología de vino: Vino de pueblo elaborado con uvas procedentes de viñas seleccionadas de más de 60 años en La Aguilera, Burgos (suelos formados por margas, arcillas y calizas).
Vinificación: Depósitos de acero inoxidable y hormigón con control de temperatura. Maceración en frío de 24 a 36 horas sobre 8-10ºC. Fermentación alcohólica durante 11 días con pequeños remontados y ‘pigeages’ a una temperatura media de 26ºC. Maceración post-fermentativa de 5 días.
Crianza: 14 meses de crianza mixta entre barricas de roble francés de 225 litros y 6 meses en depósitos de hormigón de 500 litros.
Temperatura de servicio recomendada: 16ºC.
Bodega Hacienda Solano
Hacienda Solano es una pequeña bodega familiar, situada en La Aguilera, Burgos. Un pueblo que cuenta con algunos de los mejores y más antiguos viñedos de la D.O. Ribera del Duero.
La bodega es pequeña y coqueta, situada sobre el antiguo lagar de la familia Cubillo-Solano. Aquí se cultiva cada parcela por separado, buscando la máxima expresión de los suelos.
Con un trabajo sencillo, el objetivo es que cada uno de los vinos refleje el carácter del lugar, el clima y el entorno de pinos que rodea la bodega, el tipo y la estructura del suelo, así como la forma de elaborar vinos en La Aguilera.
Viñedos de la Bodega
En Hacienda Solano se trabaja con viñedos propios, con una viticultura sostenible que refleja el paso de varias generaciones de viticultores. En ellos hay frío, calor, mucho esfuerzo y dedicación, pero sobre todo pasión.
Su filosofía ha sido siempre de mínima intervención, se trabaja de forma artesanal, sin levaduras, sin adicciones, con crianzas respetuosas, se busca la libre expresión del viñedo.
La variedad de uva Tempranillo es la protagonista, sin renunciar a la Albillo en pequeñas dosis. El carácter y finura de los suelos calizos se refleja en el estilo de los vinos.
Si tiene alguna duda a la hora de comprar Vino Tinto Hacienda Solano Viñas Viejas, póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso.",Albillo|Tempranillo 2019 D.O. Ribera del Duero Crianza 14 meses Vino Tinto HACIENDA SOLANO S.L. 22.1
VT-HACIENDA-SOLANO-VINAS-VIEJAS-MAGNUM,Vino Tinto Hacienda Solano Viñas Viejas Mágnum,Albillo|Tempranillo,2016,D.O. Ribera del Duero,Crianza,14 meses,Vino Tinto,HACIENDA SOLANO S.L.,42.35,"Nombre: VINO TINTO HACIENDA SOLANO SELECCIÓN VIÑAS VIEJAS Magnum
Denominacion de origen: Ribera del Duero
Variedad: Tempranillo 100%
Bodega: Hacienda Solano
Puntuaciones: 90 Puntos Parker 2008, 94 Puntos Parker 2009, 91 Puntos Parker 2011
Notas de cata ruta del vino:

Vista: Color cereza oscuro,capa alta, limpio y brillante,
Nariz: Intensa y compleja ,frutas negras y moras, madera fina y bien integrada con toques de especias.
Boca: Buen volumen en boca , vino fresco y equilibrado. Fruta muy presente, taninos aterciopelados y larga persistencia en boca.

Botella: 0,75 L.
Graduación alcohólica: 14,5%  voL
Si tiene alguna duda a la hora de comprar el vino tinto Hacienda Solano Viñas Viejas, póngase en contacto con nuestro sumiller y le asesorará sin compromiso.",Albillo|Tempranillo 2016 D.O. Ribera del Duero Crianza 14 meses Vino Tinto HACIENDA SOLANO S.L. 42.35
VT-HACIENDA-SOLANO-FINCA-PENALOBERA,Vino Tinto Hacienda Solano Finca Peña Lobera,Tempranillo,2016,D.O. Ribera del Duero,Crianza,15 meses,Vino Tinto,D.E.R. NAVARRO S.A.,78.65,"El Vino Tinto Hacienda Solano Finca Peña Lobera de Bodega Hacienda Solano pertenece a la D.O. Ribera del Duero y es elaborado a partir de las variedades de uva 100% Tempranillo.
Tipología de vino: Vino de parcela elaborado con uvas procedentes de viñas seleccionadas de más de 100 años en el paraje de Peña Lobera (suelos arenosos sobre roca calcárea).
Vinificación: En barricas abiertas de 500 litros. Con trabajo manual, maceración poco extractiva y larga.
Crianza: 15 meses en barricas de roble francés y 4 meses en depósito de hormigón de 500 litros.
Temperatura de servicio recomendada: 16ºC.
Bodega Hacienda Solano
Hacienda Solano es una pequeña bodega familiar, situada en La Aguilera, Burgos. Un pueblo que cuenta con algunos de los mejores y más antiguos viñedos de la D.O. Ribera del Duero.
La bodega es pequeña y coqueta, situada sobre el antiguo lagar de la familia Cubillo-Solano. Aquí se cultiva cada parcela por separado, buscando la máxima expresión de los suelos.
Con un trabajo sencillo, el objetivo es que cada uno de los vinos refleje el carácter del lugar, el clima y el entorno de pinos que rodea la bodega, el tipo y la estructura del suelo, así como la forma de elaborar vinos en La Aguilera.
Viñedos de la Bodega
En Hacienda Solano se trabaja con viñedos propios, con una viticultura sostenible que refleja el paso de varias generaciones de viticultores. En ellos hay frío, calor, mucho esfuerzo y dedicación, pero sobre todo pasión.
Su filosofía ha sido siempre de mínima intervención, se trabaja de forma artesanal, sin levaduras, sin adicciones, con crianzas respetuosas, se busca la libre expresión del viñedo.
La variedad de uva Tempranillo es la protagonista, sin renunciar a la Albillo en pequeñas dosis. El carácter y finura de los suelos calizos se refleja en el estilo de los vinos.
Si tiene alguna duda a la hora de comprar Vino Tinto Hacienda Solano Finca Peña Lobera, póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso.",Tempranillo 2016 D.O. Ribera del Duero Crianza 15 meses Vino Tinto D.E.R. NAVARRO S.A. 78.65
