SKU,name,description,final_price,uvas,proveedor,añada,D.O.,tipo_crianza,meses_barrica,tipo_vino
VT-IZADI-SELECCION,Vino Tinto Izadi Selección,"<p>El <b>Vino Tinto Izadi Selección </b>de<b> Bodegas Izadi</b>, nos presenta este vino tinto de la <b>D.O.Ca Rioja</b>, elaborado a partir de las variedades de uvas<b> Tempranillo, Graciano </b>y<b> Maturana Tinta</b>.</p>
<p>La uva procede de una selección de las mejores parcelas del triángulo que comprende Villabuena de Ávala, Samaniego (País Vasco) y Ábalos (La Rioja); estas son de bajo rendimiento y tienen una edad media de 60 años.</p>
<p><b>Estilo de poda:</b> En vaso.</p>
<p><b>Suelo:</b> Arcilloso-calcáreo, canto rodado.</p>
<p><b>Altitud del viñedo:</b> 450-550 metros sobre el nivel del mar.</p>
<p><b>Clima:</b> Atlántico con influencia mediterránea.</p>
<p><b>Despalillado, estrujado:</b> Despalillado y leve estrujado.</p>
<p><b>Fermentación alcohólica: </b>En depósitos de acero inoxidable.</p>
<p><b>Fermentación maloláctica:</b> 50% en barricas nuevas y 50% en depósitos de acero inoxidable.</p>
<p><b>Crianza:</b> 16 meses.</p>
<p><b>Tipo de barricas:</b> 75% roble francés y 25% roble americano.</p>
<p><b>Edad de las barricas:</b> 33% nuevas, 33% de dos años, 33% de tres años.</p>
<p><b>Temperatura óptima de servicio:</b> Entre 16 y 18ºC.</p>
<h2><strong>Bodegas Izadi</strong></h2>
<p><b>Bodegas Izadi</b> nace en 1987 de la mano de Gonzalo Antón, quien, junto con un grupo de amigos y empresarios vitorianos, crea un proyecto innovador en el corazón de <b>Rioja Alavesa</b>.</p>
<p><b>Villabuena de Álava</b>, donde parte de la familia ya estaba vinculada al mundo de la viticultura, fue el pueblo elegido donde se construyó una bodega innovadora y enfocada a la elaboración de vinos de calidad. El amplio conocimiento sobre la hostelería y la restauración lleva a Gonzalo Antón a concebir un vino, Izadi, que pronto se erige como uno de los <b>más apreciados por el mundo de la gastronomía</b>. A su vez, la incorporación de nuevas técnicas de elaboración y su gran afán de continua superación logran crear un estilo propio que se consolida a lo largo del tiempo.</p>
<p>En el año 2000, la incorporación a la empresa de su hijo, Lalo Antón, impulsa la comercialización en el exterior, así como la expansión de la empresa, que, bajo el nombre de <b>Artevino</b>, aborda los proyectos de Finca Villacreces (D.O. Ribera del Duero), Bodegas Vetus (D.O. Toro) y Orben (D.O.Ca. Rioja).</p>
<p>La apuesta por la calidad, la vinculación por la gastronomía y el apego a la tierra son los pilares fundamentales sobre los que se asienta Bodegas Izadi.</p>
<p>Si tiene alguna duda a la hora de comprar <b>Vino Tinto Izadi Selección</b>, póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso.</p>",15.35,Maturana Tinta,D.E.R. NAVARRO S.A.,2017,D.O.C. Rioja,Reserva,16 meses,Vino Tinto
VT-AZPILICUETA-CRIANZA,Vino Tinto Azpilicueta Crianza,"<p><strong>Bodegas Azpilicueta</strong> nos presenta este <strong>Vino Tinto Azpilicueta Crianza</strong> de Rioja (España), creado a partir de uvas Tempranillo, Graciano y Mazuelo y presentado en formato 0,75 L</p>
<p><strong>Denominación de origen:</strong> Rioja (España)</p>
<p><strong>Uvas:</strong> Tempranillo, Graciano y Mazuelo</p>
<p><strong>Botella:</strong> 0,75 L</p>
<p><strong>Envejecimiento:</strong> Envejecido durante 12 meses en barricas de roble francés y americano, y posteriormente duarnte 7-12 meses en botella.</p>
<p><strong>Temperatura de servicio óptima: </strong>Entre 15ºC y 17ºC</p>
<p>Si tiene alguna duda a la hora de <strong>comprar Azpilicueta Crianza</strong> póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso.</p>",8.0,Mazuelo,PERNOD RICARD,2020,D.O.C. Rioja,Crianza,12 meses,Vino Tinto
5032_AtRT,Vino Tinto Azpilicueta Reserva,"<p><strong>Bodegas Azpilicueta</strong> nos presenta este <strong>Vino Tinto Azpilicueta Reserva</strong> de Rioja (España), creado a partir de uvas Tempranillo, Graciano y Mazuelo.</p>
<p><strong>Envejecimiento: </strong>Envejecido durante 16 meses en barricas de roble francés y americano y, posteriormente, durante otros 20 meses en botella.</p>
<p><strong>Temperatura de servicio óptima:</strong> Entre 15ºC y 17ºC</p>
<p>Si tiene alguna duda a la hora de comprar <strong>Vino Tinto Azpilicueta Reserva</strong> póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso.</p>",12.6,Mazuelo,PERNOD RICARD,2018,D.O.C. Rioja,Reserva,20 meses,Vino Tinto
5043_LbRV,Vino Blanco Lecea,"<p>Bodegas Lecea nos presenta este vino de Rioja (Espa&ntilde;a), creado a partir de uvas Viura y presentado en formato 0,75 L</p>
<p><strong>Lecea Blanco<br /></strong></p>
<p><strong>Tipo: </strong>Vino blanco sin crianza</p>
<p><strong>Productor: </strong>Bodegas Lecea</p>
<p><strong>Denominaci&oacute;n de origen:</strong> Rioja (Espa&ntilde;a)</p>
<p><strong>Uvas: </strong>Viura</p>
<p><strong>Botella:</strong> 0,75 L</p>
<p><strong>Valoraci&oacute;n: </strong>Este blanco elaborado con uva viura es una aut&eacute;ntica explosi&oacute;n de aromas en copa, y pura suavidad en boca. Elegante y sedoso, un viura de lo m&aacute;s recomendable, &iexcl;y a&uacute;n m&aacute;s si tienen en cuenta su precio!</p>
<p><strong>Graduaci&oacute;n:</strong> 13,5%</p>
<p><strong>Temperatura de servicio &oacute;ptima: </strong>Entre 6&ordm;C y 8&ordm;C</p>
<p>Si tiene alguna duda a la hora de comprar Lecea Blanco p&oacute;ngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorar&aacute; sin compromiso.</p>",4.2,Viura,Luis Alberto Lecea Blanco,2015,D.O.C. Rioja,Joven,Sin paso por barrica,Vino Blanco
VB-VALDEMAR-FINCA-ALTO-CANTABR,Vino Blanco Conde Valdemar Finca Alto Cantabria,"<p>El <strong>V</strong><strong>ino Blanco Conde Valdemar Finca Alto Cantabria</strong> es un destacado producto de la reconocida <strong>Bodega Valdemar</strong>, una de las bodegas más prestigiosas de la región de <strong>La Rioja</strong>, <strong>España</strong>.</p>
<p>Con una historia que se remonta a más de 130 años, <strong>Valdemar</strong> ha sido una referencia en la producción de vinos de alta calidad y se ha ganado una reputación sólida en el mundo vinícola.</p>
<p>La <strong>bodega Valdemar</strong> fue<strong> fundada en 1889</strong> por <strong>Joaquín Martínez Bujanda</strong>, y desde entonces ha sido una empresa familiar que ha pasado de generación en generación. A lo largo de los años, la bodega ha combinado tradición e innovación, utilizando técnicas vitivinícolas avanzadas y respetando al mismo tiempo las prácticas tradicionales que han sido fundamentales para la elaboración de vinos excepcionales.</p>
<p>El <strong>V</strong><strong>ino Blanco Conde Valdemar Finca Alto Cantabria</strong> se elabora con uvas procedentes de la <strong>finca Alto Cantabria</strong>, ubicada en la región de <strong>La Rioja Alta</strong>. Esta finca cuenta con viñedos de variedades de uva autóctonas como <strong>Viura y Malvasía.</strong> La Viura es una variedad blanca que aporta elegancia y frescura al vino, mientras que la Malvasía añade una nota aromática y complejidad.</p>
<p>La elaboración de este vino blanco comienza con una cuidadosa selección de las uvas en el momento óptimo de madurez. Después de la <strong>vendimia manual</strong>, las uvas se transportan a la bodega donde se realiza una <strong>vinificación meticulosa.</strong> Las uvas <strong>se prensan suavemente </strong>y se realiza una <strong>fermentación en depósitos de acero inoxidable a temperatura controlada</strong>, lo que permite mantener los aromas y sabores frutales del vino.</p>
<p>Una vez terminada la fermentación, el vino pasa por un <strong>período de crianza en barricas de roble francés durante varios meses</strong>. Esta crianza aporta complejidad y estructura al vino, realzando sus características únicas. Finalmente, el vino se embotella y se deja reposar en la bodega antes de salir al mercado.</p>
<p>ONDE VALDEMAR FINCA ALTO CANTABRIA VIÑEDO SINGULAR 2021<br />• 95 Points & White Wine of the Year – Tim Atkin Mw’s Rioja 2022 Special</p>
<p><span style=""font-weight: 400;"">Si tiene alguna duda a la hora de comprar <strong>V</strong><strong>ino Blanco Conde Valdemar Finca Alto Cantabria</strong></span><span style=""font-weight: 400;"">, póngase en contacto con el sumiller de nuestra tienda online y le asesorará sin compromiso.</span></p>",17.55,Viura,"BODEGAS VALDEMAR, S.A.U",2021,D.O.C. Rioja,Fermentado en Barrica,3 meses,Vino Blanco
VT-DEHESA-DE-LOS-CANONIGOS-CRIANZA,Vino Tinto Dehesa de Los Canonigos Crianza,"<p>VINO TINTO DEHESA DE LOS CANONIGOS CRIANZA</p>
<p>El vino tinto Dehesa de los Canonigos Crianza está elaborado 88% Tinto Fino y 12% Cabernet Sauvignon. Pertenece a la D.O. Ribera del Duero.</p>
<div>Tiempo en barrica 15 meses en barrica de roble americano, tostado medio, grano fino, de uno a dos años de edad.</div>
<div> </div>
<div>Su temperatura Optima de servicio es entre 14º y 16ºC.</div>
<div> </div>
<div>Si tiene alguna duda a la hora de Comprar VINO TINTO DEHESA DE LOS CANONIGOS Crianza en nuestra tienda online de venta de vino y bebidas alcohólicas, pongase en contacto con nuestro sumiller.</div>
<p> </p>",20.65,Cabernet Sauvignon|Tinto Fino,Carbonicas Alvarez S.L.,2019,D.O. Ribera del Duero,Crianza,15 meses,Vino Tinto
VT-VALDEMAR-INSPIRACION,Vino Tinto Valdemar Inspiración,"<p><strong>Vino Tinto Valdemar Inspiración</strong> es una joya enológica indiscutiblemente riojana en cuanto a sus materias primas, pero que también lleva consigo el descaro, la fuerza y el carácter provocador importados de nuestra experiencia americana. Detrás de este vino se encuentra un minucioso trabajo por parte de su director técnico, quien se encarga de fusionar las experiencias vividas tanto en Rioja como en Washington, logrando un resultado único y sorprendente.</p>
<p>Premios:</p>
<p>• 91 Points – James Suckling (May 2023)<br />• 91 Points – Decanter World Wine Awards 2023</p>
<p>Una de las influencias clave en la creación de Valdemar Inspiración proviene de la winemaker de Valdemar Estates en Walla Walla, quien aporta su inspiración americana y su visión vanguardista. Gracias a su participación, este vino se convierte en el Rioja más transgresor dentro de la familia Valdemar, rompiendo los moldes y ampliando fronteras en el mundo del vino.</p>
<p>La elaboración de<strong> Valdemar Inspiración</strong> comienza con una cuidadosa selección de las fincas, las cuales se vinifican por separado. Se elige el Tempranillo para aportarle golosidad, fruta roja y redondez, mientras que la Maturana, una variedad con personalidad propia, se incorpora al vino para brindarle un toque salvaje, una potencia de color y un cuerpo destacado. La frescura y vivacidad son aportadas por el Graciano seleccionado.</p>
<p>Además, se lleva a cabo una maceración pre fermentativa de las uvas a baja temperatura, lo que permite una mayor extracción de la fruta y el color característicos de este vino. Posteriormente, Valdemar Inspiración pasa por un envejecimiento de un año en barricas de roble americano, lo que añade complejidad y elegancia a su perfil organoléptico.</p>
<p>En cuanto a las variedades presentes en este vino, encontramos un <strong>85% de Tempranillo</strong>, que le confiere su base estructural y su carácter distintivo. El <strong>10% de Maturana</strong> aporta personalidad y notas singulares, mientras que el 5% de Graciano contribuye con frescura y vivacidad.</p>
<p>Para disfrutar plenamente de las cualidades de Valdemar Inspiración, se recomienda servirlo a una <strong>temperatura de entre 16 y 18ºC</strong>. Esto permitirá apreciar todos los matices y aromas que este vino excepcional tiene para ofrecer.</p>
<p>Si estás considerando adquirir Vino Tinto Valdemar Inspiración, te invitamos a ponerte en contacto con el sumiller de nuestra tienda online. Él estará encantado de brindarte asesoramiento sin compromiso, respondiendo a todas tus dudas y ayudándote a elegir la opción perfecta para tus gustos y preferencias.</p>
<p><strong>Valdemar Inspiración</strong> es más que un vino; es el legado de una familia que se ha dedicado a romper moldes y a expandir horizontes en el fascinante mundo del vino. Permítete descubrir la fusión perfecta entre la tradición riojana y la innovación americana en cada sorbo de <strong>Valdemar Inspiración.</strong></p>",10.35,Graciano|Maturana Tinta|Tempranillo,"BODEGAS VALDEMAR, S.A.U",2020,D.O.C. Rioja,Crianza,11 meses,Vino Tinto
VT-PAGO-DE-LA-JARABA,Vino Tinto Pago de La Jaraba,"<p>El <strong>Vino Tinto Pago de la Jaraba</strong> es ante todo un formidable vino de los que los franceses llaman <strong>“terroir”,</strong> nacido de la voluntad original de los propietarios de que fuera expresión de lo que con el tiempo ha venido a llamarse “vino de pago”, aunque indudablemente en su constitución pesa de enorme manera el componente varietal, con una muy española <strong>Tempranillo</strong> a la que escoltan las muy bordelesas <strong>Cabernet Sauvignon</strong> y <strong>Merlot</strong>.</p>
<p>La fermentación alcohólica en tina de roble francés y la maloláctica y posterior crianza en barricas de roble francés acaban de constituir un auténtico gigante sensorial.</p>
<p>Si tiene alguna pregunta en la <strong>compra de Vino Tinto de Pago de la Jaraba</strong>, no dude en ponerse en contacto con nuestro sumiller quien le asesorará sin compromiso.</p>",15.08,Cabernet Sauvignon,PAGO DE LA JARABA,2020,D.O. La Mancha,Crianza,12 meses,Vino Tinto
VT-LA-PLANTA-DE-ARZUAGA-MAGNUM-1.5,"Vino Tinto La Planta de Arzuaga Magnum 1,5 Litros","<p><strong>VINO TINTO LA PLANTA DE ARZUAGA Botella de  1.5L</strong></p>
<p>Se trata de un vino joven con madurez y redondez necesaria para dar una complejidad llena de matices.</p>
<p>El maridaje perfecto es con carnes a la brasa, pero lo consideramos un “todoterreno” por su frutosidad y elegancia.</p>
<p>Color: Rojo cereza, capa alta con reflejos violáceos.</p>
<p>Nariz: Aromas plenos de vida y frescor, frutosidad alta (moras, casis) con toques de tostados de maderas nobles.</p>
<p>Boca: Las sensaciones encontradas en nariz son un prólogo perfecto para una boca aterciopelada y sabrosa. La frutosidad (juventud) tiene un balance perfecto con la elegancia (envejecimiento en madera).</p>
<p>Si tiene alguna duda a la hora de Comprar VINO TINTO LA PLANTA DE ARZUAGA en nuestra tienda online de venta de vino y bebidas alcoholicas, pongase en contacto con nuestro sumiller.</p>",15.75,Tempranillo,BODEGAS ARZUAGA NAVARRO S.L.,2021,D.O. Ribera del Duero,Roble,6 meses,Vino Tinto
VT-PROTOS-RSVA,Vino Tinto Protos Reserva,"<p>VINO TINTO PROTOS RESERVA</p>
<div>El vino tinto Protos Reserva est&aacute; elaborado con 100% uva <strong>Tempranillo</strong> y pertenece a la <strong>D.O. Ribera del Duero.</strong></div>
<div>&nbsp;</div>
<div>El vino tinto Protos Reserva ha realizado <strong>18 meses de crianza en barrica</strong> y un m&iacute;nimo de <strong>24 meses en botella.</strong></div>
<div>&nbsp;</div>
<div><strong>La calidad por encima de todo</strong> es la premisa en la que sustenta todo el trabajo de la Bodega Protos. Debido a esto analizan minuciosamente todo el proceso hasta la obtenci&oacute;n del vino.&nbsp;</div>
<div>&nbsp;</div>
<div>Las vi&ntilde;as est&aacute;n perfectamente controladas por t&eacute;cnicos y expertos durante el ciclo vegetativo, con el fin de conseguir una producci&oacute;n de m&aacute;xima calidad y un conocimiento exhaustivo de toda la uva antes de entrar en bodega.</div>
<div>&nbsp;</div>
<div>Servir este vino a una temperatura entre <strong>16&ordm; y 17&ordm;</strong>.</div>
<div>&nbsp;</div>
<div>MARIDAJE DEL VINO TINTO PROTOS RESERVA:</div>
<div>&nbsp;</div>
<div>Est&aacute; especialmente recomendado para por ejemplo <strong>gallina en pepitoria</strong>, cabrito asado, codornices en salsa...</div>
<div>&nbsp;</div>
<div>NOTA DE CATA VINO TINTO PROTOS RESERVA:&nbsp;</div>
<div>&nbsp;</div>
<div><span style=""text-decoration: underline;"">Vista:</span> En vista se presenta color <strong>Cereza</strong> intenso .</div>
<div>&nbsp;</div>
<div><span style=""text-decoration: underline;"">Nariz:</span> En nariz se presenta con aroma a <strong>frutas negras</strong> con notas ahumadas, bouquet elegante y complejo.</div>
<div>&nbsp;</div>
<div><span style=""text-decoration: underline;"">Boca:</span> En boca se presenta con una conjunci&oacute;n entre <strong>madera y vino</strong> muy aterciopelada. Postgusto &nbsp;largu&iacute;simo</div>
<div>&nbsp;</div>
<div>Graduaci&oacute;n Alcoh&oacute;lica de El Vino Tinto &nbsp;: 14.00 grados</div>
<div>&nbsp;</div>
<div>Si tiene alguna duda a la hora de comprar Vino tinto Protos Reserva , p&oacute;ngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorar&aacute; sin compromiso.</div>
<p>&nbsp;</p>",23.09,Tinta del País,Carbonicas Alvarez S.L.,2017,D.O. Ribera del Duero,Reserva,18 meses,Vino Tinto
VT-VINA-MAYOR-ROBLE,Vino Tinto Viña Mayor Roble,"<p>El <strong>Vino Tinto Vi&ntilde;a Mayor</strong>&nbsp;<strong>Roble</strong> est&aacute; elaborado con 100% Tempranillo y pertenece a la D.O. Ribera del Duero. Este vino es elaborado por la bodega, Bodegas y Vi&ntilde;edos Vi&ntilde;a Mayor.</p>
<p><span>Uvas vendimiadas a mano. Transportadas a la Bodega en cajones de 300kg. Despalillado suave. Fermentaci&oacute;n en dep&oacute;sitos de acero inoxidable, con temperatura y frecuencia de remontados controlados autom&aacute;ticamente.</span>&nbsp;Tiene una crianza de<strong> 3 </strong>meses en barricas de roble americano, de 225 litros, y otros 3 meses en botella antes de salir al mercado.</p>
<div>Servir este vino a una temperatura entre 14&ordm; y 16&ordm;.</div>
<div>&nbsp;</div>
<div>Si tiene alguna duda a la hora de <strong>comprar Vino tinto Vi&ntilde;a Mayor Roble</strong>, p&oacute;ngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorar&aacute; sin compromiso.</div>
<p>&nbsp;</p>",5.04,Tempranillo,PALACIOS VINOTECA S.L.,2021,D.O. Ribera del Duero,Roble,3 meses,Vino Tinto
VT-MATARROMERA-RESERVA,Vino Tinto Matarromera Reserva,"<p>VINO TINTO MATARROMERA RESERVA</p>
<p> El vino tinto Matarromera Reserva está elaborado con <strong>100% Tinta del País</strong> y pertenece a la <strong>D.O. Ribera del Duero.</strong></p>
<div> </div>
<div>El viñedo Pago de san Román, está situado a una altura de <strong>850 metros </strong>sobre el nivel del mar.</div>
<div> </div>
<div>Este vino ha tenido una crianza de <strong>18 meses en barricas</strong> de roble americano y francés. Y otros <strong>18 meses en botella </strong>antes de su comercialización.</div>
<div> </div>
<div>Servir este vino a una temperatura entre 16º y 18º.</div>
<div> </div>
<div> </div>
<div>Si tiene alguna duda a la hora de <strong>comprar Vino tinto Matarromera Reserva</strong>, póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso.</div>
<p> </p>",37.25,Tempranillo,BODEGA MATARROMERA S.L.,2018,D.O. Ribera del Duero,Reserva,18 meses,Vino Tinto
ARRSES,Vino Tinto Arzuaga Reserva Especial,"<p>VINO TINTO ARZUAGA RESERVA ESPECIAL</p>
<div>El vino tinto Arzuaga Reserva Especial est&aacute; elaborado con <strong>95% Tinta del Pais y 5% Blanca del Pais</strong>. Pertenece a la<strong> D.O. Ribera del Duero</strong>. Su enologo es Jorge Monz&oacute;n.</div>
<div>&nbsp;</div>
<div>Proviene de vi&ntilde;edos centenarios cultivados a la manera tradicional, con suelos&nbsp;calc&aacute;reo-arcillosos de bajo rendimiento.</div>
<div>&nbsp;</div>
<div>Este vino tiene una crianza de <strong>24 meses en Barricas</strong> de roble nuevo Franc&eacute;s.</div>
<div>&nbsp;</div>
<div>Servir este vino a una temperatura es 15&ordm;, antes de ser servido es recomendable <strong>decantarlo</strong>.</div>
<div>&nbsp;</div>
<div>MARIDAJE DEL VINO TINTO ARZUAGA RESERVA ESPECIAL:</div>
<div>&nbsp;</div>
<div>Est&aacute; especialmente recomendado para <strong>lechazo asado</strong>...Incluso marida perfectamente con postres de chocolate negro.</div>
<div>&nbsp;</div>
<div>NOTA DE CATA VINO TINTO ARZUAGA RESERVA ESPECIAL:&nbsp;</div>
<div>&nbsp;</div>
<div>Vista: En vista se presenta color <strong>rojo oscuro</strong>, limpio y brillante.</div>
<div>&nbsp;</div>
<div>Nariz: En nariz se presenta con aromas destacados a <strong>frutas negras y maderas</strong>. Aromas finos, complejos y evolutivos.</div>
<div>&nbsp;</div>
<div>Boca: En boca se presenta con nervio y robusto. Evolutivo con su oxigenaci&oacute;n pasando a ser <strong>sedoso y untuoso.</strong></div>
<div>&nbsp;</div>
<div>Graduaci&oacute;n Alcoh&oacute;lica de El Vino Tinto Arzuaga Reserva Especial: 14.50 grados</div>
<div>&nbsp;</div>
<div>Si tiene alguna duda a la hora de <strong>comprar Vino tinto Arzuaga Reserva Especial</strong>, p&oacute;ngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorar&aacute; sin compromiso.</div>
<p>&nbsp;</p>",48.5,Albillo|Tempranillo,BODEGAS ARZUAGA NAVARRO S.L.,2015,D.O. Ribera del Duero,Reserva,24 meses,Vino Tinto
ARCRMG,"Vino Tinto Arzuaga Crianza Magnum 1,5 Litros","<p>VINO TINTO ARZUAGA CRIANZA MAGNUM 1,5 LITROS</p>
<div>El vino tinto Arzuaga Crianza Magnum est&aacute; elaborado con Tempranillo, Cabernet Sauvignon y Merlot. Pertenece a la D.O. Ribera del Duero.</div>
<div>&nbsp;</div>
<div>Este vino ha tenido una crianza de 16 meses en barricas de roble, 50% Franc&eacute;s y 50% Americano.</div>
<div>&nbsp;</div>
<div>Servir este vino a una temperatura entre 16&ordm; y 18&ordm;.</div>
<div>&nbsp;</div>
<div>MARIDAJE DEL VINO TINTO ARZUAGA CRIANZA:</div>
<div>&nbsp;</div>
<div>Est&aacute; especialmente recomendado para cordero, carnes rojas, caza menor...</div>
<div>&nbsp;</div>
<div>NOTA DE CATA VINO TINTO ARZUAGA CRIANZA:&nbsp;</div>
<div>&nbsp;</div>
<div>Vista: En vista se presenta color rojo picota. Limpio y brillante.</div>
<div>&nbsp;</div>
<div>Nariz: En nariz se presenta con aroma a fruta negra. Notas a especies, tostados, chocolate...</div>
<div>&nbsp;</div>
<div>Boca: En boca se presenta sabroso y carnoso. Entrada por boca intensa y amplia.</div>
<div>&nbsp;</div>
<div>Graduaci&oacute;n Alcoh&oacute;lica de El Vino Tinto Arzuaga Crianza Magnum: 13.50 grados</div>
<div>&nbsp;</div>
<div>Si tiene alguna duda a la hora de comprar Vino tinto Arzuaga Crianza Magnum, p&oacute;ngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorar&aacute; sin compromiso.</div>
<p>&nbsp;</p>",58.0,Tempranillo,COALLA,2020,D.O. Ribera del Duero,Crianza,16 meses,Vino Tinto
VT-lagar-de-isilla-reserva,Vino Tinto Lagar de Isilla Reserva,"<p>VINO TINTO LAGAR DE ISILLA RESERVA</p>
<div>El vino tinto Lagar de Isilla Reserva est&aacute; elaborado con <strong>100% Tempranillo</strong> y pertenece a la <strong>D.O. Ribera del Duero</strong>. Su Enologo es <strong>Antonio Izquierdo</strong>.</div>
<div>&nbsp;</div>
<div>Este vino ha permanecido durante <strong>18 meses en barricas </strong>nuevas de roble Franc&eacute;s y Americano.Ha tenido una producci&oacute;n de <strong>9000 Botellas</strong>.</div>
<div>&nbsp;</div>
<div>Servir este vino a una temperatura entre 16&ordm; y 18&ordm;, antes de ser servido es recomendable <strong>decantarlo</strong> media hora antes de ser servido.</div>
<div>&nbsp;</div>
<div>MARIDAJE DEL VINO TINTO LAGAR DE ISILLA RESERVA:</div>
<div>&nbsp;</div>
<div>Est&aacute; especialmente recomendado para todo tipo de <strong>carnes, asados</strong>...</div>
<div>&nbsp;</div>
<div>NOTA DE CATA VINO TINTO LAGAR DE ISILLA RESERVA:&nbsp;</div>
<div>&nbsp;</div>
<div><span style=""text-decoration: underline;"">Vista:</span> En vista se presenta color <strong>rojo cereza</strong>, limpio y brillante.</div>
<div>&nbsp;</div>
<div><span style=""text-decoration: underline;"">Nariz:</span> En nariz se presenta con aroma <strong>especiado y bals&aacute;mico</strong>, notas a chocolate y fruta negra.</div>
<div>&nbsp;</div>
<div><span style=""text-decoration: underline;"">Boca:</span> En boca se presenta con entrada <strong>sabrosa y amable</strong>.Notas a fruta negra madura.</div>
<div>&nbsp;</div>
<div>Graduaci&oacute;n Alcoh&oacute;lica de El Vino Tinto Lagar de Isilla Reserva 2008: 15.00 grados</div>
<div>&nbsp;</div>
<div>Si tiene alguna duda a la hora de <strong>comprar Vino tinto Lagar de Isilla Reserva</strong>, p&oacute;ngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorar&aacute; sin compromiso.</div>
<p>&nbsp;</p>
<p>&nbsp;</p>",20.15,Tempranillo,Decantando Placeres S.L.,2017,D.O. Ribera del Duero,Reserva,18 meses,Vino Tinto
TRIMEN,Vino Tinto Tridente Mencía,"<p>VINO TINTO TRIDENTE MENC&Iacute;A</p>
<div>El vino tinto Tridente Menc&iacute;a est&aacute; elaborado con <strong>100% Menc&iacute;a</strong> y pertenece a los <strong>Vinos de la Tierra de Castilla y Le&oacute;n.</strong></div>
<div>&nbsp;</div>
<div><strong>Las bodegas Trit&oacute;n</strong>, fundada en el a&ntilde;o 2008, es una peque&ntilde;a peque&ntilde;a bodega situada en Villanueva de campe&aacute;n, al sur de la provincia de<strong> Zamora</strong>.</div>
<div>&nbsp;</div>
<div>Este vino tiene una crianza de <strong>4 meses en barrica</strong> de roble Franc&eacute;s y una producci&oacute;n de 80000 botellas.</div>
<div>&nbsp;</div>
<div>Servir este vino a una temperatura entre 16&ordm; y 18&ordm;.</div>
<div>&nbsp;</div>
<div>MARIDAJE DEL VINO TINTO TRIDENTE MENC&Iacute;A:</div>
<div>&nbsp;</div>
<div>Est&aacute; especialmente recomendado para <strong>carnes blancas, guisos, estofados, pates</strong>...</div>
<div>&nbsp;</div>
<div>NOTA DE CATA VINO TINTO TRIDENTE MENC&Iacute;A:&nbsp;</div>
<div>&nbsp;</div>
<div><span style=""text-decoration: underline;"">Vista:</span> En vista se presenta color <strong>rojo cereza</strong>.&nbsp;</div>
<div>&nbsp;</div>
<div><span style=""text-decoration: underline;"">Nariz:</span> En nariz se presenta con aroma <strong>fruta madura y torrefactos</strong>.</div>
<div>&nbsp;</div>
<div><span style=""text-decoration: underline;"">Boca:</span> En boca se presenta <strong>equilibrado, sabroso y potente.</strong></div>
<div>&nbsp;</div>
<div>Graduaci&oacute;n Alcoh&oacute;lica de El Vino Tinto Tridente Menc&iacute;a: 14.50 grados</div>
<div>&nbsp;</div>
<div>Si tiene alguna duda a la hora de c<strong>omprar Vino tinto Tridente Menc&iacute;a 2011</strong>, p&oacute;ngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorar&aacute; sin compromiso.</div>",7.47,Mencía,Orowines S.L.,2016,V.T. Castilla y León,Roble,4 meses,Vino Tinto
