manufacturer,product name,precio iva incluido,stock,product url,category,product ID,aÃ±ada,formato,Tipo de Crianza,ean,meses en barrica,Proveedor,uvas,sku,Denominacion de Origen,tipo de vino,tipo de destilado,tipo de tequila,Estilo de cerveza,Tipo de cereal de la cerveza,Estilo de Ginebra,Familia de cerveza,Tipo de Whisky,Tipo de Champagne,Tipo de Gourmet,Medida,Volumen de medida,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
BEVERAGE HUNTERS,Ron Takamaka Koko,24.14,1,https://vinopremier.com/ron-takamaka-koko.html,Rones,14747,,70.0,,6091319490181,,Beverage Hunters S.L.,,RON-TAKAMAKA-KOKO,,Ron,Ron,,,,,,,,,ml.,700,,,,,
BEVERAGE HUNTERS,Ron Takamaka Zannannan,24.14,1,https://vinopremier.com/ron-takamaka-zannannan.html,Rones,14748,,70.0,,6091319490198,,Beverage Hunters S.L.,,RON-TAKAMAKA-ZANNANNAN,,Ron,Ron,,,,,,,,,ml.,700,,,,,
BEVERAGE HUNTERS,Ron Takamaka Blanc,26.62,1,https://vinopremier.com/ron-takamaka-blanc.html,Rones,14749,,70.0,,6091319490204,,Beverage Hunters S.L.,,RON-TAKAMAKA-BLANC,,Ron,Ron,,,,,,,,,ml.,700,,,,,
BEVERAGE HUNTERS,Ron Takamaka Dark Spiced,26.62,1,https://vinopremier.com/ron-takamaka-dark-spiced.html,Rones,14750,,70.0,,6091319490174,,Beverage Hunters S.L.,,RON-TAKAMAKA-DARK-SPICED,,Ron,Ron,,,,,,,,,ml.,700,,,,,
BEVERAGE HUNTERS,Ron Takamaka Zenn,27.77,1,https://vinopremier.com/ron-takamaka-zenn.html,Rones,14751,,70.0,,6091319490389,,Beverage Hunters S.L.,,RON-TAKAMAKA-ZENN,,Ron,Ron,,,,,,,,,ml.,700,,,,,
BEVERAGE HUNTERS,Ron Takamaka Overproof Blanc,33.82,1,https://vinopremier.com/ron-takamaka-overproof-blanc.html,Rones,14752,,70.0,,6091319490211,,Beverage Hunters S.L.,,RON-TAKAMAKA-OVERPROOF-BLANC,,Ron,Ron,,,,,,,,,ml.,700,,,,,
BEVERAGE HUNTERS,Ron Takamaka Extra Noir,36.24,1,https://vinopremier.com/ron-takamaka-extra-noir.html,Rones,14753,,70.0,,6091319490167,,Beverage Hunters S.L.,,RON-TAKAMAKA-EXTRA-NOIR,,Ron,Ron,,,,,,,,,ml.,700,,,,,
BEVERAGE HUNTERS,Ron Takamaka Zepis Kreol,43.5,1,https://vinopremier.com/ron-takamaka-zepis-kreol.html,Rones,14754,,70.0,,6091319490013,,Beverage Hunters S.L.,,RON-TAKAMAKA-ZEPIS-KREOL,,Ron,Ron,,,,,,,,,ml.,700,,,,,
BEVERAGE HUNTERS,Ron Takamaka Pti Lakaz,54.45,1,https://vinopremier.com/ron-takamaka-pti-lakaz.html,Rones,14756,,70.0,,6091319490532,,Beverage Hunters S.L.,,RON-TAKAMAKA-PTI-LAKAZ,,Ron,Ron,,,,,,,,,ml.,700,,,,,
BEVERAGE HUNTERS,Ron Takamaka Grankaz,66.49,1,https://vinopremier.com/ron-takamaka-grankaz.html,Rones,14757,,70.0,,6091319490525,,Beverage Hunters S.L.,,RON-TAKAMAKA-GRANKAZ,,Ron,Ron,,,,,,,,,ml.,700,,,,,
BEVERAGE HUNTERS,Ron Takamaka Le Close Batch Limited Edition,181.5,1,https://vinopremier.com/ron-takamaka-le-close-batch-limited-edition.html,Rones,14758,,50.0,,6091319490136,,Beverage Hunters S.L.,,RON-TAKAMAKA-LE-CLOS-BATCH-LE,,Ron,Ron,,,,,,,,,ml.,500,,,,,
BEVERAGE HUNTERS,Ginebra Porters Modern Classic,38.72,1,https://vinopremier.com/ginebra-porter-s-modern-classic.html,Ginebras,14759,,70.0,,797776476893,,Beverage Hunters S.L.,,GINEBRA-PORTERS-MODEN-CLASSIC,,Ginebra,Ginebra,,,,,,,,,ml.,700,,,,,
BEVERAGE HUNTERS,Ginebra Isle of Harris,67.76,1,https://vinopremier.com/ginebra-isle-of-harris.html,Ginebras,14760,,70.0,,5060527740006,,Beverage Hunters S.L.,,GINEBRA-ISLE-OF-HARRIS,,Ginebra,Ginebra,,,,,,,,,ml.,700,,,,,
NOARA Mediterranean Distillery,Licor Cantueso Oro 1L,14.88,1,https://vinopremier.com/licor-cantueso-oro.html,Licores y Orujos,14762,,1.0,,8410838010188,,NOARA MEDITERRANEAN DISTILLERY SL.,,LICOR-CANTUESO-ORO,,Licor,Licor,,,,,,,,,L.,1,,,,,
NOARA Mediterranean Distillery,Licor Crema De Cantueso Oro,11.19,1,https://vinopremier.com/licor-crema-de-cantueso-oro.html,Licores y Orujos,14763,,70.0,,8410838005054,,NOARA MEDITERRANEAN DISTILLERY SL.,,LICOR-CREMA-DE-CANTUESO-ORO,,Licor,Licor,,,,,,,,,cl.,70,,,,,
NOARA Mediterranean Distillery,Licor Cantueso Oro Reserva 10 AÃ±os,19.6,1,https://vinopremier.com/licor-cantueso-oro-reserva-10-a-os.html,Licores y Orujos,14764,,70.0,,8410838102630,,NOARA MEDITERRANEAN DISTILLERY SL.,,LICOR-CANTUESO-ORO-RESERVA-10,,Licor,Licor,,,,,,,,,cl.,70,,,,,
NOARA Mediterranean Distillery,Licor Nugolet Crema De Anis,14.52,1,https://vinopremier.com/licor-nugolet-crema-de-anis.html,Licores y Orujos,14766,,1.0,,8410838002497,,NOARA MEDITERRANEAN DISTILLERY SL.,,LICOR-NUGOLET-CREMA-DE-ANIS,,Licor,Licor,,,,,,,,,L.,1,,,,,
NOARA Mediterranean Distillery,Licor El Cabasset Herbero,11.8,1,https://vinopremier.com/licor-el-cabasset-herbero.html,Licores y Orujos,14771,,70.0,,8410838011253,,NOARA MEDITERRANEAN DISTILLERY SL.,,LICOR-EL-CABASSET-HERBERO,,Licor,Licor,,,,,,,,,cl.,70,,,,,
NOARA Mediterranean Distillery,Tequila Cachito Loco,13.73,1,https://vinopremier.com/tequila-cachito-loco.html,Tequila Blanco,14772,,70.0,,8410838010270,,NOARA MEDITERRANEAN DISTILLERY SL.,,TEQUILA-CACHITO-LOCO,,Tequila,Tequila,Tequila Blanco,,,,,,,,cl.,70,,,,,
Valdeorite Bodegas,Cava Valdeorite Brut Nature,15.73,1,https://vinopremier.com/cava-valdeorite-blanco-brut-nature.html,Cava de Extremadura,14838,,75.0,,8420209040447,,THE WINE SUNSHINE S.L,Alarije,Macabeo,Parellada,CAVA-VALDEORITE-BLANCO-BN,D.O. Cava,,,,,,,,,,,cl.,75,,,
Valdeorite Bodegas,Cava Valdeorite Brut Semiseco,15.73,1,https://vinopremier.com/cava-valdeorite-brut-semiseco.html,Cava de Extremadura,14839,,75.0,Joven,8420209040454,,THE WINE SUNSHINE S.L,Alarije,Macabeo,Parellada,CAVA-VALDEORITE-SEMISECO,D.O. Cava,Espumoso,,,,,,,,,,cl.,75,,,
,Cava Valdeorite Brut Rosado,15.73,1,https://vinopremier.com/cava-valdeorite-brut-rosado.html,Cava de Extremadura,14842,,75.0,Joven,8420209040461,,THE WINE SUNSHINE S.L,Garnacha,ESP-VALDEORITE-BRUT-ROSADO, Cava,Espumoso,,,,,,,,RosÃ©,,cl.,75,,,,,
Louis Roederer,Champagne Louis Roederer Brut Vintage Rose,140.36,1,https://vinopremier.com/champagne-louis-roederer-brut-vintage-rose.html,Champagne,14852,2016,75.0,,3114080601655,,,Chardonnay,Pinot Noir,CHAMPAGNE-LOUIS-ROEDERER-BVR,Champagne A.O.C.,Champagne,,,,,,,,RosÃ©,,cl.,75,,,,
Grupo Corona,Cerveza Budweiser 33cl,3.03,1,https://vinopremier.com/cerveza-budweiser-33cl.html,Cervezas Internacionales,14948,,33.0,,5014379003130,,Carbonicas Alvarez S.L.,,CERVEZAS-BUDWEISER-33CL,,Cerveza,,,Pilsner,Cebada,,Lager,,,,cl.,33,,,,,
,Cerveza Mahou 5 Estrellas Tercio de 33cl,3.03,1,https://vinopremier.com/cerveza-mahou-5-estrellas-tercio-de-33cl.html,Cervezas Industriales,14949,,33.0,,8411327121019,,VOLDISTRIBUCION MADRID S.A.,,C-TERCIO-MAHOU-5ESTRELLAS,,Cerveza,,,Pilsner,,,Lager,,,,cl.,33,,,,,
Cervezas Luz de Abril,Cerveza Artesana Luz de Abril,3.27,1,https://vinopremier.com/cerveza-artesana-luz-de-abril.html,Cervezas Artesanas,14956,,33.0,,,,"Luz de Abril CompaÃ±Ã­a Cervecera, S.L.",,CERVEZA-ARTESANA-LUZ-ADE-ABRIL,,Cerveza,,,Pale Ale,Cebada,,Ale,,,,cl.,33,,,,,
Teso la Monja,Vino Tinto Almirez,23.78,1,https://vinopremier.com/vino-tinto-almirez.html,Rebajas,40,2021,75.0,Crianza,8437010272011,12 ,Carbonicas Alvarez S.L.,Tinta de Toro,VT-ALMIREZ, Toro, Tinto,,,,,,,,,,cl.,75,,,,,
Bodegas Alta Pavina,Vino Tinto Alta Pavina Pago La Pavina,15.97,1,https://vinopremier.com/vino-tinto-alta-pavina-pago-la-pavina.html,Rebajas,44,2014,75.0,,8436017740608,,"GREAT WINES FROM SPAIN, S.L.",Cabernet Sauvignon,Tempranillo,VT-Pago-Pavina,V.T. Castilla y LeÃ³n,Vino Tinto,,,,,,,,,,cl.,75,,,,
Bodegas Alta Pavina,Vino Tinto Alta Pavina Selecto,16.34,1,https://vinopremier.com/vino-tinto-alta-pavina-selecto.html,Rebajas,48,2015,75.0,,8436017740585,,"GREAT WINES FROM SPAIN, S.L.",Pinot Noir,Tempranillo,VT-pavina-selecto,V.T. Castilla y LeÃ³n,Vino Tinto,,,,,,,,,,cl.,75,,,,
Bodegas Arzuaga Navarro,Vino Tinto Arzuaga EcolÃ³gico Crianza,30.19,1,https://vinopremier.com/vino-tinto-arzuaga-ecologico-crianza.html,Rebajas,60,2017,75.0,Crianza,8429077543104,17 ,BODEGAS ARZUAGA NAVARRO S.L.,Tempranillo,VT-ARZUAGA-ECOLOGICO-CRIANZA, Ribera del Duero, Tinto,,,,,,,,,,cl.,75,,,,,
Bodegas Arzuaga Navarro,Vino Tinto Arzuaga Reserva,45.38,1,https://vinopremier.com/vino-tinto-arzuaga-reserva.html,Rebajas,64,2019,75.0,Reserva,8429077144943,26 ,COALLA,Cabernet Sauvignon,Merlot,Tempranillo,arzuagareserva,D.O. Ribera del Duero,Vino Tinto,,,,,,,,,,cl.,75,,,
Bodegas BalbÃ¡s,Vino Tinto BalbÃ¡s Crianza,30.01,1,https://vinopremier.com/vino-tinto-balbas-crianza.html,Rebajas,85,2018,75.0,Crianza,8427489000222,18 ,Bodegas BalbÃ¡s S.L.,Cabernet Sauvignon,Tempranillo,VT-BALBAS-CRIANZA,D.O. Ribera del Duero,Vino Tinto,,,,,,,,,,cl.,75,,,,
Bodegas BalbÃ¡s,Vino Tinto BalbÃ¡s Gran Reserva,67.09,1,https://vinopremier.com/vino-tinto-balbas-gran-reserva.html,Rebajas,86,2014,75.0,Gran Reserva,8427489000246,36 ,Bodegas BalbÃ¡s S.L.,Cabernet Sauvignon,Tempranillo,VT-BALBAS-GRAN-RESERVA,D.O. Ribera del Duero,Vino Tinto,,,,,,,,,,cl.,75,,,,
Bodegas Roda,Vino Tinto Bodegas Roda Sela,21.78,1,https://vinopremier.com/vino-tinto-bodegas-roda-sela.html,Tempranillo,98,2021,75.0,Crianza,8436538814536,12 ,BODEGAS RODA S.A.,,VT-RODASELA,C. Rioja, Tinto,,,,,,,,,,cl.,75,,,,,
Bodegas Yllera,Vino Tinto Bracamonte Roble,8.71,1,https://vinopremier.com/vino-tinto-bracamonte-roble.html,Rebajas,102,2019,75.0,Roble,8420378000242,6 ,,Tempranillo,VT-BRACAMONTE-ROBLE, Ribera del Duero, Tinto,,,,,,,,,,cl.,75,,,,,
Vetus,Vino Tinto Celsus,43.92,1,https://vinopremier.com/vino-tinto-celsus.html,Rebajas,136,2019,75.0,,8423302157111,14 ,D.E.R. NAVARRO S.A.,Tinta de Toro,VT_CELSUS, Toro, Tinto,,,,,,,,,,cl.,75,,,,,
Bodegas Asenjo & Manso,Vino Tinto Ceres Crianza,14.52,1,https://vinopremier.com/vino-tinto-ceres-crianza.html,Rebajas,138,2020,75.0,Crianza,8437005676015,12 ,PIFEMA S.L.,Tempranillo,VTceres, Ribera del Duero, Tinto,,,,,,,,,,cl.,75,,,,,
Bodegas Canopy,Vino Tinto Congo,42.11,1,https://vinopremier.com/vino-tinto-congo.html,Rebajas,155,2015,75.0,,8437007400045,16 ,CANOPY CONSUL S.L.	,Garnacha,VT-CONGO, Mentrida, Tinto,,,,,,,,,,cl.,75,,,,,
Bodega La Horra,Vino Tinto Corimbo I,55.66,1,https://vinopremier.com/vino-tinto-corimbo-i.html,Tempranillo,159,2016,75.0,Crianza,8436538813300,16 ,BODEGAS RODA S.A.,Tempranillo,corimbo-I, Ribera del Duero, Tinto,,,,,,,,,,cl.,75,,,,,
Bodega El Coto de Rioja,Vino Tinto Coto de Imaz Reserva,11.37,1,https://vinopremier.com/vino-tinto-coto-de-imaz-reserva.html,Black Friday - Vinopremier,164,2014,75.0,Reserva,8410537050126,17 ,Carbonicas Alvarez S.L.,Tempranillo,VT-COTO-DE-IMAZ-RESERVA,C. Rioja, Tinto,,,,,,,,,,cl.,75,,,,,
Dominio de Tares,Vino Tinto Dominio de Tares Cepas Viejas,17.0,1,https://vinopremier.com/vino-tinto-dominio-de-tares-cepas-viejas.html,Rebajas,180,2019,75.0,Roble,8437002369040,9 ,Carbonicas Alvarez S.L.,MencÃ­a,VT-DOMINIO-TARES-CEPAS-VIEJAS, Bierzo, Tinto,,,,,,,,,,cl.,75,,,,,
Leyenda del Paramo,Vino Tinto El Aprendiz Prieto Picudo,9.38,1,https://vinopremier.com/vino-tinto-el-aprendiz-prieto-picudo.html,Rebajas,192,2019,75.0,Roble,8437011067203,3 ,Leyenda del Paramo S.L,Prieto Picudo,APRENDIZTINTO,  LeÃ³n, Tinto,,,,,,,,,,cl.,75,,,,,
Bodega Casa Castillo,Vino Tinto El Molar,23.84,1,https://vinopremier.com/vino-tinto-el-molar.html,Rebajas,195,2019,75.0,Crianza,8437002030902,12 ,Aseuniv S.L.,Garnacha,VT_EL-MOLAR-GARNACHA, Jumilla, Tinto,,,,,,,,,,cl.,75,,,,,
Leyenda del Paramo,Vino Tinto El MÃºsico Prieto Picudo,26.44,1,https://vinopremier.com/vino-tinto-el-musico-prieto-picudo.html,Rebajas,196,2014,75.0,,8437011067173,12 ,Leyenda del Paramo S.L,Prieto Picudo,VTMUSICO,  LeÃ³n, Tinto,,,,,,,,,,cl.,75,,,,,
Bodega El VÃ­nculo,Vino Tinto El Vinculo Crianza,10.35,1,https://vinopremier.com/vino-tinto-el-vinculo-crianza.html,Â¡Vinos por menos de 10â‚¬ para triunfar!,198,2020,75.0,Crianza,8423339136103,18 ,Carbonicas Alvarez S.L.,Tempranillo,VT-EL-VINCULO-CRIANZA, La Mancha, Tinto,,,,,,,,,,cl.,75,,,,,
Finca Villacreces,"Vino Tinto Finca Villacreces Magnum 1,5L.",67.76,1,https://vinopremier.com/vino-tinto-finca-villacreces-magnum.html,EspaÃ±a,217,2017,1.5,Crianza,8437005151215,14 ,D.E.R. NAVARRO S.A.,Cabernet Sauvignon,Merlot,Tempranillo,VT-FINCA-VILLACRECES-MAGNUM,D.O. Ribera del Duero,Vino Tinto,,,,,,,,,,L.,1.5,,,
Bodega RemÃ­rez de Ganuza,Vino Tinto Fincas de Ganuza Reserva,38.42,1,https://vinopremier.com/vino-tinto-fincas-de-ganuza-reserva.html,Tempranillo,219,2016,75.0,Reserva,8437017304807,28 ,PIFEMA S.L.,Graciano,Tempranillo,FINCASDEGANUZA,D.O.C. Rioja,Vino Tinto,,,,,,,,,,cl.,75,,,,
Vetus,Vino Tinto Flor de Vetus,11.8,1,https://vinopremier.com/vino-tinto-flor-de-vetus.html,Â¡Vinos por menos de 10â‚¬ para triunfar!,221,2019,75.0,,8423302158118,9 ,D.E.R. NAVARRO S.A.,Tinta de Toro,VT-FLOR-VETUS, Toro, Tinto,,,,,,,,,,cl.,75,,,,,
Proyecto Garnachas de EspaÃ±a,Vino Tinto La Garnacha Salvaje del Moncayo,12.64,1,https://vinopremier.com/vino-tinto-la-garnacha-salvaje-del-moncayo.html,Denominaciones,224,2019,75.0,Roble,8437008635972,5 ,"Rodriguez Sanzo, S.L.",Garnacha,VT-GARNACHA-SALVAJE-DEL-MONCAYO,IGP Ribera del Queiles, Tinto,,,,,,,,,,cl.,75,,,,,
Bodegas Palacio,Vino Tinto Glorioso Crianza,7.26,1,https://vinopremier.com/vino-tinto-glorioso-crianza.html,Tempranillo,225,2019,75.0,Crianza,8410351123006,12 ,ENTRECANALES DOMECQ E HIJOS S.A.,Tempranillo,VT-GLORIOSO-CRIANZA,C. Rioja, Tinto,,,,,,,,,,cl.,75,,,,,
Bodegas Arzuaga Navarro,Vino Tinto Gran Arzuaga,163.47,1,https://vinopremier.com/vino-tinto-gran-arzuaga.html,D.O. Ribera del Duero,229,2011,75.0,Reserva,8429077141027,20 ,BODEGAS ARZUAGA NAVARRO S.L.,Blanca del PaÃ­s,Cabernet Sauvignon,Tinto Fino,VT-GRAN-ARZUAGA,D.O. Ribera del Duero,Vino Tinto,,,,,,,,,,cl.,75,,,
Bodegas Habla,Vino Tinto Habla del Silencio,14.22,1,https://vinopremier.com/vino-tinto-habla-del-silencio.html,Cabernet Franc,231,2021,75.0,Roble,8437006033503,8 ,Carbonicas Alvarez S.L.,Cabernet Sauvignon,Syrah,Tempranillo,VT-HABLA-DEL-SILENCIO,V.T. Extremadura,Vino Tinto,,,,,,,,,,cl.,75,,,
Hacienda LÃ³pez de Haro,Vino Tinto Hacienda Lopez de Haro Crianza,9.38,1,https://vinopremier.com/vino-tinto-hacienda-lopez-de-haro-crianza.html,Tempranillo,235,2020,75.0,Crianza,8437007162295,18 ,"Atocha Vallecas, S.L.",Garnacha,Graciano,Tempranillo,VT-HLH-CRIANZA,D.O.C. Rioja,Vino Tinto,,,,,,,,,,cl.,75,,,
Hacienda Monasterio,Vino Tinto Hacienda Monasterio Reserva,64.43,1,https://vinopremier.com/vino-tinto-hacienda-monasterio-reserva.html,EspaÃ±a,237,2019,75.0,Reserva,8436000840025,16 ,LOPEZ ARRANZ S.L.,Cabernet Sauvignon,Tempranillo,vthaciendamonasterioreserva,D.O. Ribera del Duero,Vino Tinto,,,,,,,,,,cl.,75,,,,
Bodegas Izadi ,Vino Tinto Izadi Crianza,12.64,1,https://vinopremier.com/vino-tinto-izadi-crianza.html,EspaÃ±a,248,2020,75.0,Crianza,8423302111113,14 ,D.E.R. NAVARRO S.A.,Tempranillo,VT-IZADI CRIANZA,C. Rioja, Tinto,,,,,,,,,,cl.,75,,,,,
Bodega Izadi,Vino Tinto Izadi El Regalo,39.39,1,https://vinopremier.com/vino-tinto-izadi-el-regalo.html,EspaÃ±a,250,2017,75.0,Reserva,8423302121273,20 ,D.E.R. NAVARRO S.A.,Tempranillo,VT-IZADI-EL-REGALO,C. Rioja, Tinto,,,,,,,,,,cl.,75,,,,,
Bodega Juan Gil,Vino Tinto Juan Gil Etiqueta Plata,15.0,1,https://vinopremier.com/vino-tinto-juan-gil-etiqueta-plata.html,EspaÃ±a,252,2021,75.0,Crianza,8437005068070,12 ,Carbonicas Alvarez S.L.,Monastrell,VT-JUAN-GIL-ETIQUETA-PLATA, Jumilla, Tinto,,,,,,,,,,cl.,75,,,,,
Bodegas Canopy,Vino Tinto Kaos,42.11,1,https://vinopremier.com/vino-tinto-kaos.html,EspaÃ±a,256,2010,75.0,,8437007400052,20 ,D.E.R. NAVARRO S.A.,Garnacha,VT-KAOS,V.T. Castilla y LeÃ³n, Tinto,,,,,,,,,,cl.,75,,,,,
Bodegas Atalaya,Vino Tinto Atalaya del Camino,17.79,1,https://vinopremier.com/vino-tinto-la-atalaya.html,Monastrell,257,2020,75.0,Crianza,8437005068315,14 ,Orowines S.L.,Garnacha Tintorera,VT-LA-ATALAYA, Almansa, Tinto,,,,,,,,,,cl.,75,,,,,
Bodegas Canopy,Vino Tinto La ViÃ±a Escondida,37.99,1,https://vinopremier.com/vino-tinto-la-vi-a-escondida.html,EspaÃ±a,261,2018,75.0,,8437007400038,15 ,CANOPY CONSUL S.L.	,Garnacha,VT-LA-VINA-ESCONDIDA, Mentrida, Tinto,,,,,,,,,,cl.,75,,,,,
Bodega El Lagar de Isilla,Vino Tinto Lagar de Isilla Roble,9.08,1,https://vinopremier.com/vino-tinto-lagar-de-isilla-roble.html,Tempranillo,265,2020,75.0,Roble,8437004291806,5 ,Decantando Placeres S.L.,Cabernet Sauvignon,Tempranillo,lagardeisillaroble,D.O. Ribera del Duero,Vino Tinto,,,,,,,,,,cl.,75,,,,
Bodega Legaris,Vino Tinto Legaris Crianza,17.67,1,https://vinopremier.com/vino-tinto-legaris-crianza.html,El Mejor Regalo para PAPÃ,270,2019,75.0,Crianza,8437003962004,12 ,CODORNIU,Cabernet Sauvignon,Tempranillo,VT-LEGARIS-CRIANZA,D.O. Ribera del Duero,Vino Tinto,,,,,,,,,,cl.,75,,,,
Bodega Legaris,Vino Tinto Legaris Roble,9.62,1,https://vinopremier.com/vino-tinto-legaris-roble.html,Tempranillo,271,2021,75.0,Roble,8437003962202,6 ,CODORNIU,Tinto Fino,VT-LEGARIS-ROBLE, Ribera del Duero, Tinto,,,,,,,,,,cl.,75,,,,,
Lerma,Vino Tinto Lerma SelecciÃ³n Reserva,15.61,1,https://vinopremier.com/vino-tinto-lerma-seleccion-reserva.html,D.O. Arlanza,273,2014,75.0,Reserva,8429077347993,14 ,BODEGAS NAVARRO BALBAS S.L.,Tempranillo,VT-LERMA-SELECCION-RESERVA, Arlanza, Tinto,,,,,,,,,,cl.,75,,,,,
Manuel Manzaneque,Vino Tinto Manuel Manzaneque Syrah,24.5,1,https://vinopremier.com/vino-tinto-manuel-manzaneque-syrah.html,D.O. La Mancha,292,2006,75.0,Joven,8428651000064,10 ,VOLDISTRIBUCION MADRID S.A.,Syrah,VTManuelmanzanequesyrah,Finca Ã‰lez, Tinto,,,,,,,,,,cl.,75,,,,,
MarquÃ©s de Murrieta,Vino Tinto Marques de Murrieta Reserva,31.16,1,https://vinopremier.com/vino-tinto-marques-de-murrieta-reserva.html,EspaÃ±a,297,2019,75.0,Reserva,8411509192028,20 ,Aseuniv S.L.,Garnacha Tinta,Tempranillo,VT-MARQUES-DE-MURRIETA-RESERVA,D.O.C. Rioja,Vino Tinto,,,,,,,,,,cl.,75,,,,
Marques de Valdueza,Vino Tinto Marques de Valdueza Etiqueta Azul,24.74,1,https://vinopremier.com/vino-tinto-marques-de-valdueza-etiqueta-azul.html,Vino Tinto,298,2008,75.0,,8437004401540,,BODEGA PERALES S.L.,Cabernet Sauvignon,Merlot,Syrah,marquesvalduezaazul,V.T. Extremadura,Vino Tinto,,,,,,,,,,cl.,75,,,
Bodegas MarquÃ©s de Vitoria,"Vino Tinto MarquÃ©s de Vitoria Crianza 37,5 Cl",5.14,1,https://vinopremier.com/vino-tinto-marques-de-vitoria-crianza-375-cl.html,Tempranillo,304,2012,37.5,Crianza,8432292290388,12 ,PIFEMA S.L.,Tempranillo,marquesvitoria375,C. Rioja, Tinto,,,,,,,,,,cl.,37.5,,,,,
Bodega Matsu,Vino Tinto Matsu El Recio,16.58,1,https://vinopremier.com/vino-tinto-matsu-el-recio.html,D.O. Toro,315,2021,75.0,Crianza,8437008695891,14 ,"Atocha Vallecas, S.L.",Tinta de Toro,VTMatsuElRecio, Toro, Tinto,,,,,,,,,,cl.,75,,,,,
Bodega Matsu,Vino Tinto Matsu El Viejo,49.01,1,https://vinopremier.com/vino-tinto-matsu-el-viejo.html,D.O. Toro,316,2020,75.0,Reserva,8437008695846,16 ,"Atocha Vallecas, S.L.",Tinta de Toro,MAELVI, Toro, Tinto,,,,,,,,,,cl.,75,,,,,
Bodegas Ochoa,Vino Tinto Ochoa Mil Gracias,16.15,1,https://vinopremier.com/vino-tinto-mil-gracias-ochoa-varietal-crianza.html,D.O. Navarra,322,2017,75.0,Crianza,8414167020016,9 ,Bodegas Ochoa,Graciano,VT-MIL-GRACIAS-OCHOA-VARIETAL-CRIANZA, Navarra, Tinto,,,,,,,,,,cl.,75,,,,,
Bodega Rejadorada,Vino Tinto Rejadorada Crianza Temple,17.85,1,https://vinopremier.com/vino-tinto-novellum-crianza-de-rejadorada.html,Tinta de Toro,335,2016,75.0,Crianza,8437004931030,12 ,PIFEMA S.L.,Tinta de Toro,NOVELLUM, Toro, Tinto,,,,,,,,,,cl.,75,,,,,
Bodega Numanthia,Vino Tinto Numanthia,61.23,1,https://vinopremier.com/vino-tinto-numanthia.html,D.O. Toro,336,2016,75.0,Reserva,8437005360013,16 ,Carbonicas Alvarez S.L.,Tinta de Toro,VT-NUMANTHIA, Toro, Tinto,,,,,,,,,,cl.,75,,,,,
Pago de Carraovejas,Vino Tinto Pago de Carraovejas Cuesta de Las Liebres,191.85,1,https://vinopremier.com/vino-tinto-pago-de-carraovejas-cuesta-de-las-liebres.html,D.O. Ribera del Duero,345,2019,75.0,Reserva,8426411004185,24 ,"ALMA CARRAOVEJAS DISTRIBUCION, S.L.",Tinto Fino,CUESTALIEBRES, Ribera del Duero, Tinto,,,,,,,,,,cl.,75,,,,,
Pago de los Capellanes,Vino Tinto Pago de Los Capellanes Finca El Picon,197.53,1,https://vinopremier.com/vino-tinto-pago-de-los-capellanes-finca-el-picon.html,D.O. Ribera del Duero,352,2018,75.0,Reserva,8436582050690,26 ,Vila Viniteca,Tempranillo,FINCAPICONPAGOCAP, Ribera del Duero, Tinto,,,,,,,,,,cl.,75,,,,,
Pago de los Capellanes,Vino Tinto Pago de Los Capellanes Pago El Nogal,67.03,1,https://vinopremier.com/vino-tinto-pago-de-los-capellanes-pago-el-nogal.html,EspaÃ±a,353,2019,75.0,Reserva,8437001953530,22 ,Vila Viniteca,,CAPELLANESPA, Ribera del Duero, Tinto,,,,,,,,,,cl.,75,,,,,
Bodegas Arzuaga Navarro,Vino Tinto Pago Florentino,17.73,1,https://vinopremier.com/vino-tinto-pago-florentino.html,Vino Tinto,362,2019,75.0,Crianza,8429077149016,12 ,COALLA,Cencibel,VT-PAGO-FLORENTINO,Vino de Pago, Tinto,,,,,,,,,,cl.,75,,,,,
Bodegas Arzuaga Navarro,Vino Tinto Pago Florentino 9 Litros,320.29,1,https://vinopremier.com/vino-tinto-pago-florentino-9-litros.html,Vino Tinto,364,2017,9.0,Crianza,11111111111,12 ,BODEGAS ARZUAGA NAVARRO S.L.,Tempranillo,VT-PAGO-FLORENTINO-9-LITROS,Vino de Pago, Tinto,,,,,,,,,,L.,9,,,,,
Bodega Pinna Fidelis,Vino Tinto Pinna Fidelis Crianza,20.93,1,https://vinopremier.com/vino-tinto-pinna-fidelis-crianza.html,Tempranillo,375,2018,75.0,Crianza,8437004105066,12 ,PIFEMA S.L.,Tinta del PaÃ­s,PINNAFIDELISCRIANZA, Ribera del Duero, Tinto,,,,,,,,,,cl.,75,,,,,
Grupo Faustino,Vino Tinto Portia Crianza,16.15,1,https://vinopremier.com/vino-tinto-portia-crianza.html,Variedades de uva,379,2020,75.0,Crianza,8436035772315,14 ,VOLDISTRIBUCION MADRID S.A.,Tempranillo,VT-PORTIA-CRIANZA, Ribera del Duero, Tinto,,,,,,,,,,cl.,75,,,,,
Protos,Vino Tinto Protos Crianza,19.84,1,https://vinopremier.com/vino-tinto-protos-crianza.html,Tempranillo,385,2019,75.0,Crianza,8420342001039,14 ,Carbonicas Alvarez S.L.,Tempranillo,VT-PROTOS-CRIANZA, Ribera del Duero, Tinto,,,,,,,,,,cl.,75,,,,,
